CellType,Symbol,AffymetrixID,UGCIuster         I,EntrezGene Name,
Neutrophils,CREB5,205931,s at,Hs.437075,9586 cAMP responsive element binding protein 5
Neutrophils,S100A12,205863,.at,Hs. 19413,6283 S1OO calcium binding protein Al 2
Neutrophils,FCGR3B,204006,s at,Hs.372679,"2215 Fc fragment of IgG, low affinity Illb, receptor (CD16b)"
Neutrophils,TNFRSF10C,211163,_s_at,Hs.655801,"8794 tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
Neutrophils,SLC22A4,205896,.at,"Hs.310591,Hs.64010","6583 solute carrier family 22 (organic cation transporter), member 4"
Neutrophils,KIAA0329,204307,.at,Hs. 195667,9895 KIAA0329
Neutrophils,SLC25A37,218136,_s_at,"Hs l 22514, Hs.59602","51312 solute carrier family 25, member 37"
Neutrophils,BST1,205715,.at,Hs. 169998,683 bone marrow stromal cell antigen 1
Neutrophils,FCAR,207674,at,Hs.659872,"2204 Fc fragment of IgA, receptor for"
Neutrophils,CEACAM3,208052,x at,Hs.11,1084 Carcinoembryonic antigen-related cell adhesion molecule 3
Neutrophils,CRISPLD2,221541,.at,Hs.513779,83716 cysteine-rich secretory protein LCCL domain containing 2
Neutrophils,TNFRSF10C,206222,.at,Hs.655801,"8794 tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
Neutrophils,G0S2,213524,s at,Hs.432132,50486 G0∕G1 switch 2
Neutrophils,SIGLEC5,220000,.at,Hs.310333,8778 sialic acid binding Ig-Iike lectin 5
Neutrophils,CD93,202878,_s_at,Hs.97199,22918 CD93 molecule
Neutrophils,MGAM,206522,.at,Hs. 122785,8972 m altase-g I ucoam yl ase (al p ha-g I ucosid ase)
Neutrophils,ALPL,215783,s at,Hs.75431,"249 alkaline phosphatase, liver/bone/kidney"
Neutrophils,FPR1,205119,s at,Hs.753,2357 formyl peptide receptor 1
Neutrophils,CD93,202877,s at,Hs.97199,22918 CD93 molecule
Neutrophils,PDE4B,222326,.at,Hs. 198072,"5142 phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
Neutrophils,LILRB2,210146,x at,Hs.655652,"10288 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
SW480 cancer cells,KRT5,201820,.at,"Hs.433845, Hs.66106","3852 keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)"
SW480 cancer cells,RBP1,203423,.at,Hs.529571,"5947 retinol binding protein 1, cellular"
SW480 cancer cells,TRIM29,202504,.at,Hs.504115,23650 tripartite motif-containing 29
SW480 cancer cells,DEFA5,207529,.at,Hs.655233,"1670 defen sin, alpha 5, Paneth cell-specific"
SW480 cancer cells,BMP4,211518,s at,Hs.68879,652 bone morphogenetic protein 4
SW480 cancer cells,EEF1A2,204540,.at,Hs.433839,1917 eukaryotic translation elongation factor 1 alpha 2
SW480 cancer cells,VSNL1,203797,.at,Hs.444212,7447 visinin-like 1
SW480 cancer cells,ASPSCR1,218908,.at,Hs.298351,"79058 alveolar soft part sarcoma chromosome region, candidate 1"
SW480 cancer cells,IGF2,202409,.at,"Hs.272259, Hs.52341",3481 insulin-like growth factor 2 (somatomedin A)
SW480 cancer cells,MFAP2,203417,.at,Hs.389137,4237 mIcrofibrillar-associated protein 2
SW480 cancer cells,FGF3,214571,.at,Hs.37092,2248 Iibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)
SW480 cancer cells,S100A2,204268,.at,Hs.516484,6273 Sl OO calcium binding protein A2
SW480 cancer cells,INHBB,205258,.at,Hs. 1735,"3625 inhibin, beta B"
SW480 cancer cells,JAG2,209784,s at,Hs.433445,3714 jagged 2
SW480 cancer cells,LOC89944,213713,_s_at,Hs.436178,89944 hypothetical protein BC008326
SW480 cancer cells,BAMBI,203304,.at,Hs.533336,25805 BMP and activin membrane-bound inhibitor homolog (Xenopus Iaevis)
SW480 cancer cells,JAG2,"32137,-",at,Hs.433445,3714 jagged 2
SW480 cancer cells,BMP7,20959?,s at,Hs.473163,655 bone morphogenetic protein 7 (osteogenic protein 1)
SW480 cancer cells,RPP25,219143,s at,Hs.8562,54913 ribonuclease P/MRP 25kDa subunit
SW480 cancer cells,RHOD,209885,.at,Hs.15114,"29984 ras homolog gene family, member D"
SW480 cancer cells,DHRS2,214079,.at,Hs.272499,10202 dehydrogenase/reductase (SDR family) member 2
SW480 cancer cells,ITGB4,204989,s at,Hs.632226,"3691 integrin, beta 4"
SW480 cancer cells,NTSR1,207360,s at,Hs.590869,4923 neurotensin receptor 1 (high affinity)
SW480 cancer cells,STRA6,221701,s at,Hs.24553,64220 stimulated by retinoic acid gene 6 homolog (mouse)
SW480 cancer cells,SLC1A5,208916,.at,Hs.631582,"6510 solute carrier family 1 (neutral amino acid transporter), member 5"
SW480 cancer cells,VSNL1,203798,s at,Hs.444212,7447 visinin-like 1
SW480 cancer cells,FKBP4,200894,_s_at,Hs.524183,"2288 FK506 binding protein 4, 59kDa"
SW480 cancer cells,S100A3,206027,.at,Hs.557609,6274 Sl OO calcium binding protein A3
SW480 cancer cells,TEAD4,41037-c,at,Hs.94865,7004 TEA domain family member 4
SW480 cancer cells,KLK6,204733,.at,Hs.79361,5653 kallikrein-related peptidase 6
SW480 cancer cells,CCND1,208711,_s_at,Hs.523852,595 cyclin Dl
SW480 cancer cells,SLC27A5,219733,s at,Hs.292177,"10998 solute carrier family 27 (fatty acid transporter), member 5"
SW480 cancer cells,HOXA9,214651,_s_at,Hs.659350,3205 Iiomeobox A9
SW480 cancer cells,F12,205774,.at,Hs. 1321,2161 coagulation factor XlI (Hageman factor)
SW480 cancer cells,LRFN4,219491,.at,"Hs.209979, Hs.68452",78999 leucine rich repeat and fibronectin type III domain containing 4
SW480 cancer cells,NM-024609,218678,at,Hs.527971,10763 nestin
SW480 cancer cells,SLC6A8,210854,x at,Hs.540696,"6535 solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
SW480 cancer cells,PCTK1,207239,s at,Hs.496068,5127 PCTAIRE protein kinase 1
SW480 cancer cells,SLC6A8,213843,x at,Hs.540696,"6535 solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
SW480 cancer cells,KRT13,207935,_s_at,Hs.654550,3860 keratin 13
Normal mucosa,TSPAN8,203824,.at,Hs. 170563,7103 tetraspanin 8
Normal mucosa,LGALS4,204272,at,Hs.5302,"3960 lectin, galactoside-binding, soluble, 4 (galectin 4)"
Normal mucosa,DCN,201893,x at,Hs.694789,1634 decorin
Normal mucosa,COL3A1,215076,,"Hs.443625, Hs.69379","1281 collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,COL3A1,201852,x at,"Hs.443625, Hs.69379","1281 collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,CEACAMS,201884,.at,Hs.466814,1048 Carcinoembryonic antigen-related cell adhesion molecule 5
Normal mucosa,TAGLN,205547,s at,Hs.632099,6876 transgel in
Normal mucosa,KRT20,213953,.at,Hs.84905,54474 keratin 20
Normal mucosa,DCN,211896,_s_at,Hs.694789,1634 decorin
Normal mucosa,MYH11,201497,x at,Hs.460109,"4629 myosin, heavy chain 11, smooth muscle"
Normal mucosa,FXYD3,202489,_s_at,Hs.301350,5349 FXYD domain containing ion transport regulator 3
Normal mucosa,ACTG2,202274,.at,Hs.516105,"72 actin, gamma 2, smooth muscle, enteric"
Normal mucosa,MYLK,202555,s at,Hs.556600,"4638 myosin, light chain kinase"
Normal mucosa,TPM1,210987,x at,Hs. 133892,7168 tropomyosin 1 (alpha)
Normal mucosa,CDH17,209847,.at,Hs.591853,"1015 cadherin 17, Ll cadherin (liver-intestine)"
Normal mucosa,NFIB,209289,.at,Hs.370359,4781 nuclear factor l/B
Normal mucosa,MGP,202291,s at,Hs.365706,4256 matrix Gla protein
Normal mucosa,SPARCL1,200795,.at,Hs.62886,"8404 SPARC-Iike 1 (mast9, hevin)"
Normal mucosa,RGS5,209071,s at,Hs.24950,8490 regulator of G-protein signaling 5
Normal mucosa,MYH11,207961,x at,Hs.460109,"4629 myosin, heavy chain 11, smooth muscle"
Normal mucosa,PPAP2B,212226,_s_at,"Hs.405156, Hs.63879",8613 phosphatidic acid phosphatase type 2B
Normal mucosa,COL3A1,211161,_s_at,"Hs.443625, Hs.69379","1281 collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,IGFBP7,201162,.at,"Hs.479808, Hs.65210",3490 insulin-like growth factor binding protein 7
Normal mucosa,PPAP2B,209355,s at,"Hs.405156, Hs.63879",8613 phosphatidic acid phosphatase type 2B
Normal mucosa,CALD1,201616,_s_at,Hs.490203,800 caldesmon 1
Normal mucosa,C1R,212067,s at,Hs.524224,"715 complement component 1, r subcomponent"
Normal mucosa,CALD1,212077,.at,Hs.490203,800 caldesmon 1
Normal mucosa,AGR2,209173,.at,Hs.530009,10551 anterior gradient homolog 2 (Xenopus Iaevis)
Normal mucosa,GNA11,564_at,,"Hs.278432, Hs.65478","2767 guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
Normal mucosa,HEPH,203903,_s_at,Hs.31720,9843 hephaestin
Normal mucosa,GNA11,213944,x at,"Hs.278432, Hs.65478","2767 guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
Normal mucosa,GNG12,212294,.at,Hs.431101,"55970 guanine nucleotide binding protein (G protein), gamma 12"
Normal mucosa,ADH1B,209612,s at,Hs.4,"125 alcohol dehydrogenase IB (class I), beta polypeptide"
Normal mucosa,TPM1,206116,_s_at,Hs. 133892,7168 tropomyosin 1 (alpha)
Normal mucosa,CRIM1,202551,_s_at,Hs.332847,51232 cysteine rich transmembrane BMP regulator 1 (chordin-like)
Normal mucosa,FBLN1,202994,s at,Hs.24601,2192 fibulin 1
Normal mucosa,IGFBP5,211959,.at,Hs.635441,3488 insulin-like growth factor binding protein 5
Normal mucosa,LAMA4,202202,s at,Hs.654572,"3910 laminin, alpha 4"
Normal mucosa,CAV1 ,212097,.at,Hs.74034,"857 caveolin 1, caveolae protein, 22kDa"
Normal mucosa,WASL,205809,_s_at,Hs. 143728,8976 Wskott-Aldrich syndrome-like
Blood vessels,CDHS,204677,.at,Hs.76206,"1003 cadherin 5, type 2, VE-cadherin (vascular epithelium)"
Lymph vessels,PDPN,204879,.at,Hs.468675,10630 podoplanin
Lymph vessels,VEGFC,209946,.at,Hs.435215,7424 vascular endothelial growth factor C
Lymph vessels,FIGF,206742,.at,Hs. 11392,2277 c-fos induced growth factor (vascular endothelial growth factor D)
